"date","low","high"
1999-12-20,48,58
1999-12-21,42,51
1999-12-22,34,58
1999-12-23,38,62
1999-12-24,38,70
1999-12-25,39,59
1999-12-26,36,69
1999-12-27,51,74
1999-12-28,40,62
1999-12-29,39,77
1999-12-30,45,76
1999-12-31,47,73
2000-12-20,33,66
2000-12-21,41,57
2000-12-22,33,50
2000-12-23,43,57
2000-12-24,49,56
2000-12-25,50,56
2000-12-26,42,58
2000-12-27,36,43
2000-12-28,36,56
2000-12-29,38,54
2000-12-30,30,53
2000-12-31,30,47
2001-12-20,37,63
2001-12-21,39,67
2001-12-22,58,74
2001-12-23,46,63
2001-12-24,37,53
2001-12-25,39,54
2001-12-26,37,56
2001-12-27,32,65
2001-12-28,53,71
2001-12-29,41,68
2001-12-30,40,53
2001-12-31,38,47
2002-12-20,41,65
2002-12-21,44,71
2002-12-22,50,70
2002-12-23,53,74
2002-12-24,39,54
2002-12-25,32,50
2002-12-26,39,52
2002-12-27,45,66
2002-12-28,38,68
2002-12-29,50,74
2002-12-30,60,72
2002-12-31,47,61
2003-12-20,34,64
2003-12-21,45,72
2003-12-22,57,77
2003-12-23,45,67
2003-12-24,34,62
2003-12-25,44,62
2003-12-26,56,66
2003-12-27,61,75
2003-12-28,49,76
2003-12-29,40,58
2003-12-30,34,61
2003-12-31,43,69
2004-12-20,39,71
2004-12-21,53,73
2004-12-22,37,63
2004-12-23,33,41
2004-12-24,31,37
2004-12-25,32,48
2004-12-26,27,58
2004-12-27,33,61
2004-12-28,46,68
2004-12-29,55,71
2004-12-30,60,77
2004-12-31,62,76
2005-12-20,43,50
2005-12-21,40,58
2005-12-22,35,60
2005-12-23,42,73
2005-12-24,57,72
2005-12-25,45,70
2005-12-26,42,78
2005-12-27,61,79
2005-12-28,51,74
2005-12-29,43,71
2005-12-30,57,78
2005-12-31,48,78
2006-12-20,59,75
2006-12-21,54,70
2006-12-22,47,66
2006-12-23,44,63
2006-12-24,46,51
2006-12-25,44,53
2006-12-26,35,57
2006-12-27,36,65
2006-12-28,51,72
2006-12-29,64,73
2006-12-30,52,70
2006-12-31,46,65
2007-12-20,53,80
2007-12-21,44,75
2007-12-22,45,74
2007-12-23,33,54
2007-12-24,38,62
2007-12-25,38,63
2007-12-26,45,65
2007-12-27,36,57
2007-12-28,49,63
2007-12-29,45,57
2007-12-30,42,70
2007-12-31,41,74
2008-12-20,67,77
2008-12-21,45,68
2008-12-22,33,45
2008-12-23,41,71
2008-12-24,61,71
2008-12-25,60,75
2008-12-26,70,77
2008-12-27,58,78
2008-12-28,47,59
2008-12-29,42,66
2008-12-30,39,71
2008-12-31,51,66
2009-12-20,36,61
2009-12-21,38,68
2009-12-22,54,71
2009-12-23,65,74
2009-12-24,37,71
2009-12-25,32,49
2009-12-26,37,53
2009-12-27,38,58
2009-12-28,35,54
2009-12-29,36,48
2009-12-30,44,54
2009-12-31,45,55
2010-12-20,56,76
2010-12-21,66,80
2010-12-22,64,74
2010-12-23,54,64
2010-12-24,48,68
2010-12-25,38,47
2010-12-26,31,49
2010-12-27,32,52
2010-12-28,51,65
2010-12-29,56,63
2010-12-30,57,73
2010-12-31,63,76
2011-12-20,50,69
2011-12-21,44,61
2011-12-22,50,59
2011-12-23,48,56
2011-12-24,44,52
2011-12-25,44,48
2011-12-26,41,52
2011-12-27,37,61
2011-12-28,37,66
2011-12-29,44,66
2011-12-30,44,72
2011-12-31,59,76
2012-12-20,42,75
2012-12-21,34,61
2012-12-22,36,68
2012-12-23,63,76
2012-12-24,62,75
2012-12-25,36,75
2012-12-26,33,47
2012-12-27,36,57
2012-12-28,44,62
2012-12-29,36,49
2012-12-30,35,53
2012-12-31,48,68
2013-12-20,67,76
2013-12-21,55,76
2013-12-22,39,60
2013-12-23,33,54
2013-12-24,34,57
2013-12-25,40,59
2013-12-26,49,62
2013-12-27,50,58
2013-12-28,44,60
2013-12-29,39,67
2013-12-30,40,53
2013-12-31,40,50
2014-12-20,51,55
2014-12-21,49,62
2014-12-22,56,73
2014-12-23,49,60
2014-12-24,41,54
2014-12-25,37,65
2014-12-26,57,71
2014-12-27,47,75
2014-12-28,41,47
2014-12-29,40,50
2014-12-30,41,53
2014-12-31,40,46
2015-12-20,52,70
2015-12-21,64,76
2015-12-22,58,73
2015-12-23,64,82
2015-12-24,62,80
2015-12-25,74,83
2015-12-26,74,79
2015-12-27,47,77
2015-12-28,40,51
2015-12-29,41,53
2015-12-30,49,56
2015-12-31,49,55
2016-12-20,37,59
2016-12-21,46,73
2016-12-22,62,72
2016-12-23,62,78
2016-12-24,67,80
2016-12-25,69,79
2016-12-26,71,82
2016-12-27,70,81
2016-12-28,70,82
2016-12-29,54,72
2016-12-30,50,56
2016-12-31,54,68
2017-12-20,58,78
2017-12-21,51,79
2017-12-22,45,80
2017-12-23,43,56
2017-12-24,41,67
2017-12-25,38,52
2017-12-26,48,53
2017-12-27,40,49
2017-12-28,38,45
2017-12-29,42,54
2017-12-30,51,61
2017-12-31,40,51
2018-12-20,50,63
2018-12-21,43,64
2018-12-22,45,75
2018-12-23,52,70
2018-12-24,47,64
2018-12-25,58,71
2018-12-26,62,69
2018-12-27,55,70
2018-12-28,45,60
2018-12-29,47,54
2018-12-30,45,49
2018-12-31,46,58
